Dung lượng RAM,Wi-Fi,Loại CPU,4star,Tính năng đặc biệt,3star,Ổ cứng,Bluetooth,old_price,Chất liệu tấm nền,Loại card đồ họa,Khe đọc thẻ nhớ,item_name,Hệ điều hành,2star,Công nghệ màn hình,Công nghệ âm thanh,5star,comment_count,Độ phân giải màn hình,Webcam,Kích thước,Loại RAM,Độ phân giải ,Trọng lượng,Màn hình cảm ứng,Cổng giao tiếp,1star,Chất liệu,url,Kích thước màn hình,Đèn bàn phím,Pin,special_price
16GB,Intel Wi-Fi 6 AX201(2*2 ax),"Intel Core i7-10870H, tốc độ 2.2 GHz tối đa 5.0GHz, bộ nhớ đệm 16MB",0,"Công nghệ Intel Gaming, Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng",0,2TB SSD PCIE G3X4,Bluetooth 5.2,58.990.000,,NVIDIA GeForce RTX3060 Max-Q 6GB GDDR6,Có,Laptop MSI Gaming GS66 Stealth 10UE-200VN,Windows 10 Home SL,0,Tần số quét 300Hz 100% sRGB,,0,2,1920 x 1080 pixels (FullHD),,358.3 x 248 x 18.3-19.8 (mm),,Full HD,2.1 kg,Không,1 cổng Type-C (USB3.2 Gen2 / DP / Thunderbolt™3) with PD charging 1 cổng Type-C USB3.2 Gen2 3 cổng Type-A USB3.2 Gen2 1 cổng RJ-45 1 cổng HDMI,0,,https://cellphones.com.vn/laptop-msi-gaming-gs66-stealth-10ue-200vn.html,15.6 inches,,4 Cell 99.9WHrs,51.990.000
8GB,"11ac, 2x2","AMD Ryzen 5 5500U (6C / 12T, 2.1 / 4.0GHz, 3MB L2 / 8MB L3)",0,Ổ cứng SSD,0,256GB SSD M.2 2242 PCIe 3.0x4 NVMe,v5.0,19.990.000,Tấm nền TN,Integrated AMD Radeon Graphics,Có,Laptop Lenovo Ideapad 3 15ALC6,Windows 10 Home SL ,0,Màn hình chống loá,2 loa,0,7,1920 x 1080 pixels (FullHD),HD 720p có màn trập,359.2 x 236.5 x 19.9 mm,"4GB DDR4-3200 + 4GB SO-DIMM DDR4-3200, hỗ trợ tối đa 20GB",Full HD,1.65 kg,Không,1x power connector 1x card reader 1x HDMI 1.4b 1x headphone  microphone combo jack (3.5mm) 1x USB 2.0 2x USB 3.2 Gen 1,0,Vỏ nhựa,https://cellphones.com.vn/laptop-lenovo-ideapad-3-15alc6-82ku00a9us.html,15.6 inches,Có,45Wh,17.490.000
8GB,802.11 AC,Intel Core i5-1135G7 2.4GHz up to 4.2GHz 8MB,0,Ổ cứng SSD,0,256GB SSD M.2 PCIE,v5.0,22.990.000,,NVIDIA GeForce MX330 2GB GDDR5,Có,Laptop Dell Vostro 5402 V5402A,Windows 10 Home SL ,0,,2 loa,0,11,1920 x 1080 pixels (FullHD),,321.3 x 216.2 x 17.9 mm,"DDR4 3200MHz, 2 khe ram, tối đa 32GB",Full HD,1.41 kg,Không,1x USB 3.2 Gen 2 Type-C™ (DP/PowerDelivery) 2x USB 3.2 Type-A 1x HDMI 1.4b 1x Ethernet RJ-45,0,Vỏ nhựa,https://cellphones.com.vn/laptop-dell-vostro-5402-v5402a.html,14 inches,,3 Cell 40WHr,21.790.000
8GB,802.11 ac,"Intel Core i7-1065G7 1.3 GHz up to 3.9 GHz, 8MB",0,Ổ cứng SSD,0,512GB SSD M.2 NVMe,v5.0,21.990.000,Tấm nền IPS,Intel Iris Plus Graphics,Có,Laptop HP 340S G7 36A37PA,Windows 10 Home SL ,0,"Màn hình chống loá, 250 nits, 45% NTSC",Realtek High Definition Audio,0,2,1920 x 1080 pixels (FullHD),HD 720p ,32.4 x 22.5 x 1.79 cm (W x D x H),"DDR4/ 2666MHz, 2 khe cắm",Full HD,1.358 kg,Không,1 x USB 3.1 Gen 1 Type-C 2 x USB 3.1 Gen 1 Type-A  1 x Headphone/Microphone combo jack SD-card reader,0,Vỏ nhựa,https://cellphones.com.vn/laptop-hp-340s-g7-36a37pa.html,14 inches,,3 Cell Int (41.04Wh),21.290.000
8GB,AMD Wi-Fi 6E RZ608,AMD Ryzen 7 5800H 3.2GHz up to 4.4GHz 16MB,0,"Ổ cứng SSD, Wi-Fi 6",0,512GB SSD M.2 PCIE (1 slot),v5.1,25.490.000,Tấm nền IPS,AMD Radeon™ RX 5500M 4GB GDDR6,Không,Laptop Gaming MSI Bravo 15 B5DD-264VN,Windows 10 Home SL ,0,"Màn hình chống loá, 144Hz",2x 2W Speaker,0,0,1920 x 1080 pixels (FullHD),HD 720p ,397 x 260 x 22~23.1 mm,"DDR4 3200MHz, 2 khe cắm tối đa 64GB",Full HD,1.96 kg,Không,1x Type-C USB3.2 Gen1 2x Type-A USB3.2 Gen1 1x Type-A USB2.0 1x (4K @ 30Hz) HDMI 1x Mic-in/Headphone-out Combo Jack,0,,https://cellphones.com.vn/laptop-msi-gaming-bravo-15-b5dd-264vn.html,15.6 inches,Có,3 Cell 52WHr,24.390.000
8GB,"Intel Wireless-AX201 (802.11ax, 2x2, Dual Band, BT Combo)","Intel Core i5-1135G7, tốc độ 2.40GHz tối đa 4.2GHz, 4 nhân 8 luồng, 8MB bộ nhớ đệm",0,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng, Bảo mật vân tay",0,512GB SSD PCIe NVMe M.2,v5.1,39.900.000,Tấm nền IPS,Intel Iris Xe Graphics,Có,Laptop LG Gram 2021 16ZD90P-G.AX54A5 16 inch,Non-OS,0,99% DCI-P3,HD Audio: DTS X Ultra,0,4,2560 x 1600 pixels (2K),HD webcam,380.2 x 260.1 x 17.8mm,"LPDDR4x 4266MHz, không hỗ trợ nâng cấp",2K (Quad HD),"1,190g",Không,2 x USB 3.2 Gen2 2 x USB Type-C Thunderbolt 4 1 x HDMI,0,,https://cellphones.com.vn/laptop-lg-gram-16-2021-i5-ram-8gb-free-os.html,16 inches,,80WHrs 10.336mAh,37.400.000
16GB,"Intel Wireless-AX201 (802.11ax, 2x2, Dual Band, BT Combo)","Intel Core™ i7-1165G7, tốc độ 2.80GHz tối đa 4.70GHz, 4 nhân 8 luồng, 12MB bộ nhớ đệm",0,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng, Bảo mật vân tay",0,512GB SSD PCIe NVMe M.2,v5.1,50.900.000,Tấm nền IPS,Intel Iris Xe Graphics,Có,Laptop LG Gram 2021 16Z90P-G.AH75A5 16 inch,Windows 10 Home SL,0,99% DCI-P3,Hệ thống âm thanh vòm DTS: X Ultra với Stereo Speaker (1.5W x 2),0,3,2560 x 1600 pixels (2K),HD Camera,380.2 x 260.1 x 17.8mm,"LPDDR4x 4266MHz, không hỗ trợ nâng cấp",2K (Quad HD),1.35kg,Không,2 x USB 3.2 Gen2 2 x USB Type-C Thunderbolt 4 1 x HDMI,0,,https://cellphones.com.vn/laptop-lg-gram-16-2021.html,16 inches,Có,80WHrs 10.336mAh,47.400.000
16GB,"Intel Wireless-AX201 (802.11ax, 2x2, Dual Band, BT Combo)","Intel Core™ i7-1165G7, tốc độ 2.80GHz tối đa 4.70GHz, 4 nhân 8 luồng, 12MB bộ nhớ đệm",0,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng, Bảo mật vân tay",0,256GB SSD PCIe NVMe M.2,v5.1,48.900.000,Tấm nền IPS,Intel Iris Xe Graphics,Có,Laptop LG Gram 2021 16Z90P-G.AH73A5 16 inch,Windows 10 Home SL,0,"99% DCI-P3, 60Hz, Tấm nền IPS, Chống chói Anti Glare", DTS X:Ultra Audio,0,2,2560 x 1600 pixels (2K),HD webcam,"""355.9 x 243.4 x 16.8 mm","LPDDR4x 4266MHz, không hỗ trợ nâng cấp",2K (Quad HD),"1,190g",Không,2 x USB 3.2 Gen2 2 x USB Type-C Thunderbolt 4 1 x HDMI,0,,https://cellphones.com.vn/laptop-lg-gram-16-2021-ssd-256gb.html,16 inches,Có,80WHrs 10.336mAh,45.400.000
8GB,802.11AC (2x2),AMD Ryzen 7-5700U 1.8GHz up to 4.3GHz 8MB,0,Ổ cứng SSD,0,512GB SSD M.2 PCIE,v4.2,,,AMD Radeon Graphics,Có,Laptop ASUS VivoBook Flip 14 TM420UA-EC024T,Windows 10 Home SL ,0,,Harman/Kardon,0,0,1920 x 1080 pixels (FullHD),HD 720p ,324 x 220 x 18.2 (mm),"DDR4 3200MHz , 1 khe cắm tối đa 20GB",Full HD,1.5 kg,Có,1x USB 3.2 Gen 2 Type-C 1x USB 3.2 Gen 2 Type-A 1x USB 2.0 1x HDMI,0,,https://cellphones.com.vn/laptop-asus-vivobook-flip-14-tm420ua-ec024t.html,14 inches,Có,3 Cells 42WHrs,
16GB,"11ax, 2x2 ","AMD Ryzen™ 7-5800H, 3.2GHz upto 4.4GHz, 8 nhân 16 luồng",0,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng",0,512GB SSD M.2 2280 PCIe 3.0x4 NVMe,v5.1,,Tấm nền IPS,NVIDIA® GeForce® GTX 1650 4GB GDDR6,,Laptop Lenovo IdeaPad 5 Pro 16ACH6,Windows 10 Home,0,"350nits, chống chói, 120Hz, 100% sRGB",2 loa,0,0,2560 x 1600 pixel (2K),720p Camera có màn trập,356 x 251 x 16.9 mm,16GB DDR4-3200Mhz,2K (Quad HD),1.9 kg,Không,1x USB 3.2 Gen 1  1x USB 3.2 Gen 1 (Always On)  1x USB-C 3.2 Gen 2  1 x HDMI 1.4b  1x Headphone / microphone combo jack (3.5mm),0,,https://cellphones.com.vn/laptop-lenovo-ideapad-5-pro-16ach6-82l50082vn.html,16 inches,,"4-cell, 75Wh",27.990.000
16GB,Intel Wi-Fi 6 with Gig+ performance (802.11AX) (2x2),AMD Ryzen 7 5800HS 3.0GHz up to 4.3GHz 16MB,0,"Ổ cứng SSD, Wi-Fi 6, Bảo mật vân tay",0,512GB SSD PCIE G3X4,v5.0,36.990.000,Tấm nền IPS,NVIDIA GeForce RTX 3050 4GB GDDR6 ,Có,Laptop ASUS Gaming ROG Zephyrus G14 GA401QC,Windows 10 Home SL,0,"Tần số quét 144Hz, 72% NTSC, 100% sRGB","Dolby Atmos Software, Smart Amp Technology",0,27,1920 x 1080 pixels (FullHD),,32.4 x 22.0 x 1.99 ~ 1.99 cm,"DDR4 3200MHz 16GB (8GB onboard + 8GB), hỗ trợ tối đa 24GB",Full HD,1.73 kg,Không,1x Type C USB 3.1 Gen 2 1x USB 3.1 Gen 2 Type-C 2x USB 3.2 Gen 1 Type-A 1x HDMI 2.0b 1x 3.5mm Combo Audio Jack FingerPrint,0,,https://cellphones.com.vn/laptop-asus-rog-zephyrus-g14-ga401qc.html,14 inches,Có,4 Cell 76WHr,34.790.000
8GB,802.11ac ,3.1GHz 6-core 10th-generation Intel Core i5 processor Turbo Boost up to 4.5GHz,0,Ổ cứng SSD,0,256GB SSD,v5.0,49.990.000,Tấm nền IPS,Radeon Pro 5300 with 4GB of GDDR6 memory,Có,Apple iMac 27 5K 2020 i5 3.1 8GB 256GB Radeon 5300 Chính Hãng (MXWT2),MacOS,0,Wide color (P3) True Tone,,0,0,5120 x 2880 pixels,,,"2666MHz DDR4, 4 khe cắm hỗ trợ tối đa 128GB",Retina,8.92 kg,,"SDXC card slot (UHS-II) jack 3.5mm 4 x USB-A ports 2 x Thunderbolt 3 (USB-C) hỗ trợ: DisplayPort; Thunderbolt (up to 40 Gbps); USB 3.1 Gen 2 (up to 10 Gbps); Thunderbolt 2, HDMI, DVI, and VGA supported using adapters Gigabit Ethernet",0,,https://cellphones.com.vn/imac-27-inch-2020-5k.html,27 inches,,,39.000.000
,"IEEE 802.11a/b/g/n/ac, 2.4 GHz and 5 GHz, 2 x 2 MIMO","10th Gen Intel® Core™ i5-10210U Processor, 1.6 GHz 4 cores, Turbo up to 4.2 GHz",0,,0,512 GB NVMe PCIe SSD,BT 5.0,,,NVIDIA® GeForce® MX250 + Intel® UHD Graphics,,Huawei Matebook X,Windows 10 Home SL,0,"LTPS, 100% sRGB, 450 nits",,0,2,3000 x 2000 pixels,,304 mm x 217 mm x 14.6 mm,,,1.33 kg,," USB-C x 2 (support data, charging and DisplayPort), USB-A 3.0 x 1, 3.5 mm headset and microphone jack x 1",0,,https://cellphones.com.vn/huawei-matebook-x.html,14 inches,,56 Wh,
8GB,802.11b/g/n/ac ,Core i5 1135G7 2.4Ghz-8Mb,0,Ổ cứng SSD,0,256 GB PCIe® NVMe™ M.2 SSD,v5.0,19.990.000,,Intel® Iris® Xe Graphics,Có,Laptop HP 15-HP 15 T-DW300 1A3Y3AV,Windows 10 Home SL ,0,,,0,15,1366 x 768 pixels (HD+),HD 720p ,35.84 x 24.21 x 1.98 cm,"8GB (2x4GB) DDR4-2666, 2 khe cắm tối đa 16GB",HD,1.75 kg,Không,1 x multi-format SD media card reader 1 x SuperSpeed USB Type-C® 5Gbps signaling rate 2 x SuperSpeed USB Type-A 5Gbps signaling rate 1 x HDMI 1.4b 1 x RJ-45 1 x AC smart pin 1 x headphone/microphone combo,0,Vỏ nhựa,https://cellphones.com.vn/laptop-hp-15-hp-15-t-dw300-1a3y3av.html,15.6 inches,Không,"3-cell, 41 Wh",17.290.000
8GB,Wi-Fi 5 (2x2),"AMD Ryzen 5 5500U (tối đa 4,0 GHz, 8 MB bộ nhớ đệm L3, 6 lõi, 12 luồng)",0,Ổ cứng SSD,0,256 GB PCIe® NVMe™ M.2 SSD,v4.2,18.990.000,,AMD Radeon™ Graphics,Có,Laptop HP 15 Z-EF2000 2J4V7AV Nhập khẩu chính hãng,Windows 10 Home SL ,0,Màn hình chống loá,2 Loa,0,19,1366 x 768 pixels (HD+),HD 720p ,35.84 x 24.21 x 1.80 cm,"8GB (2x4GB) DDR4-3200Mhz, tối đa 16GB",HD,1.70 kg,Không,1 x SuperSpeed USB Type-C® 5Gbps signaling rate 2 x SuperSpeed USB Type-A 5Gbps signaling rate 1 x HDMI 1.4b 1 x AC smart pin 1 x headphone/microphone combo,0,,https://cellphones.com.vn/laptop-hp-15-z-ef2000-2j4v7av.html,15.6 inches,Không,"3-cell, 41 Wh ",16.990.000
4GB,802.11a/b/g/n/ac (1x1),"Intel® Pentium® Silver N5030 (1.1 GHz base frequency, up to 3.1 GHz)",0,Ổ cứng SSD,0,128 GB SATA M.2 SSD,4.2,11.990.000,,Intel® UHD Graphics 605,,Laptop HP 14-CF2033WM 3V7G4UA,,0,"220 nits, 45% NTSC",2 Loa,0,35,1366 x 768 pixels (HD+),HP True Vision 720p HD camera,32.4 x 22.59 x 1.99 cm,4 GB DDR4-2400 MHz RAM (1 x 4 GB),HD,1.47 kg,Không,1x SuperSpeed USB Type-C® 5Gbps  2x SuperSpeed USB Type-A 5Gbps 1x HDMI 1.4 1x RJ-45  1x AC smart pin  1x headphone/microphone combo,0,,https://cellphones.com.vn/laptop-hp-14-cf2033wm-3v7g4ua-pent.html,14 inches,,"3-cell, 41 Wh Li-ion",10.990.000
4GB,802.11a/b/g/n/ac (2x2),Intel Core i3-1005G1,0,"Ổ cứng SSD, Viền màn hình siêu mỏng",0,256GB SSD,v4.2,12.990.000,Tấm nền IPS,VGA Intel UHD Graphics,,Laptop HP 250 G8 389X8PA,Window 10,0,"Chống chói WLED, độ sáng 250nits, 45% NTSC ",HP Audio Boost ,0,31,1366 x 768 pixels (HD+), HD Webcam,35.79 x 24.21 x 1.98 cm,"DDR4 2 khe cắm, hỗ trợ tối đa 16GB",HD,1.74 kg ,Không,3 x USB-A 3.2 Gen1 1 x USB 3.2 Gen1 Type-C  1 x HDMI v1.4b  1x jack cắm tai nghe  1x RJ-45,0,Vỏ nhựa,https://cellphones.com.vn/laptop-hp-250-g8-389x8pa.html,15.6 inches,Không,3 Cell 41Whrs,11.990.000
8GB,"11ac, 2x2 ","AMD Ryzen 5 5500U (6C / 12T, 2.1 / 4.0GHz, 3MB L2 / 8MB L3)",0,Ổ cứng SSD,0,256GB SSD M.2 2242 PCIe 3.0x4 NVMe,v5.0,19.990.000,Tấm nền TN,Integrated AMD Radeon Graphics,Có,Laptop Lenovo Ideapad 3 15ALC6,Windows 10 Home SL ,0,"Màn hình chống loá, 250nits, 45% NTSC",2 loa,0,11,1920 x 1080 pixels (FullHD),HD 720p có màn trập,359.2 x 236.5 x 19.9 mm,"4GB DDR4-3200 + 4GB SO-DIMM DDR4-3200, Hỗ trợ tối đa 20GB",Full HD,1.65 kg,Không,1x power connector 1x card reader 1x HDMI 1.4b 1x headphone  microphone combo jack (3.5mm) 1x USB 2.0 2x USB 3.2 Gen 1,0,Vỏ nhựa,https://cellphones.com.vn/laptop-lenovo-ideapad-3-15alc6-82ku003nus.html,15.6 inches,Có,45Wh,17.490.000
16GB,802.11 ax,"AMD Ryzen 9 5900HX Processor (8 x 3.30 GHz), Max Boost Clock up to 4.60 GHz",0,"Ổ cứng SSD, Wi-Fi 6",0,512GB SSD1 PCIe (M.2 2280),Bluetooth 5.1,43.990.000,,"NVIDIA GeForce RTX 3060 (6GB of GDDR6 SDRAM, Bus Width : 192-bit)",Có,Laptop Asus Gaming ROG Strix G17 G713QM-K4183T,Windows 10 Home Single Language 64-bit,0,"Tần số quét 165Hz, màn hình chống loá, 300 nits",2 loa,0,20,2560 x 1440 pixels (2K),,39.5 x 28.2 x 2.34 ~ 2.83 cm (W x D x H),"2 x 8GB DDR4/ 3200MHz, hỗ trợ tối đa 32GB",2K (Quad HD),2.73 kg,Không,"1 x USB 3.1 Gen 2 Type-C (support DisplayPort, Power Delivery) 3 x USB 3.1 Gen 1 Type-A 1 x HDMI 1 x RJ45 1 x Headphone/Microphone combo audio jack 1 x SSD2 PCIe (M.2 2280)",0,,https://cellphones.com.vn/laptop-asus-rog-zephyrus-g14-g713qm-k4183t.html,17.3 inches,Có,4 Cell Int (90Wh),41.490.000
8GB,Intel Wi-Fi 6 AX201D2W,Intel® Core™ i5-1035G7 1.20GHz/3.70GHz,1,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng, Bảo mật vân tay",0,512GB M.2 2280 NVMe SSD PCI-e,5,30.490.000,,Intel® Iris® Plus Graphics,Có,Laptop LG gram 2020 14ZD90N-V.AX55A5,Free OS,0,IPS,"DTS: X Ultra, Stereo Speaker (1.5W x 2)",1,13,1920 x 1080 pixels (FullHD),HD Webcam với Dual Mic.,323.4 x 209.8 x 16.8 mm,"DDR4 3200Mhz, không hỗ trợ nâng cấp",Full HD,999g,Không,"HDMI, USB 3.0 x 2, Micro-SD, RJ45 Ethernet, DC-In",0,Vỏ kim loại,https://cellphones.com.vn/laptop-lg-gram-14zd90n-v-ax55a5-2020-chip-core-i5-1035g7-ram-8gb-ssd-512gb-14inch.html,14 inches,Có,"72 Wh Li-Ion (9,450 mAh), 4 cell lithium ion (polymer)",24.280.000
8GB,Intel Wi-Fi 6 AX201D2W,Intel® Core™ i5-1035G7 1.20GHz/3.70GHz,0,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng, Bảo mật vân tay",0,256GB M.2 2280 NVMe SSD PCI-e,5,28.990.000,Tấm nền IPS,Intel® Iris® Plus Graphics,Có,Laptop LG gram 2020 14Z90N-V.AR52A5,Windows 10 Home / Free OS,0,"60Hz, Chống chói Anti-Glare",DTS X:Ultra Audio,1,20,1920 x 1080 pixels (FullHD),HD webcam,323.4 x 209.8 x 16.8 mm,DDR4 3200Mhz,Full HD,999g,Không,"HDMI, USB 3.0 x 2, UFS, Micro SD, RJ45 Ethernet, DC-In",0,Vỏ kim loại,https://cellphones.com.vn/laptop-lg-gram-14z90n-v-ar52a5-2020-chip-core-i5-1035g7-ram-8gb-ssd-256gb-14inch.html,14 inches,Có,"72Wh Li-Ion (9,450mAh), 4 cell lithium ion (polymer)",22.890.000
8GB,Intel Wi-Fi 6 AX201D2W,Intel® Core™ i5-1035G7 1.20GHz/3.70GHz,0,"Ổ cứng SSD, Wi-Fi 6",0,512GB M.2 2280 NVMe SSD PCI-e,5,36.990.000,,Intel® Iris® Plus Graphics,Có,Laptop LG gram 2020 15Z90N-V.AR55A5,Windows 10 Home / Free OS,0,IPS,,0,8,1920 x 1080 pixels (FullHD),,357.6 x 225.3 x 16.8 mm,8GB Onboard DDR4 3200MHz (1 Khe cắm / Hỗ trợ tối đa 16GB),Full HD,"1,120g",Không,"HDMI, USB 3.0 x 3, UFS, Micro SD, RJ45 Ethernet, DC-In",0,,https://cellphones.com.vn/laptop-lg-gram-15z90n-v-ar55a5-2020-chip-core-i5-1035g7-ram-8gb-ssd-512gb-15inch.html,15 inches,,"80Wh Li-Ion (10,336mAh), 4 cell lithium ion (polymer)",29.080.000
8GB,Intel Wi-Fi 6 AX201D2W,Intel® Core™ i7-1065G7 1.30GHz/3.90GHz,0,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng, Bảo mật vân tay",0,512GB M.2 2280 NVMe SSD PCI-e,5,42.490.000,Tấm nền IPS,Intel® Iris® Plus Graphics,Có,Laptop LG gram 2020 17Z90N-V.AH75A5,Windows 10 Home,0,"IPS, WQXGA (2560 x 1600)",DTS X:Ultra Audio,0,12,2560 x 1600 pixels (2K),HD webcam,380.6 x 262.6 x 17.4 mm,DDR4 (On board)3200 MHz,2K (Quad HD),"1,350g",Không,"HDMI, USB 3.0 x 3, Micro-SD UFS, Micro SD, RJ45 Ethernet, DC-In",0,,https://cellphones.com.vn/laptop-lg-gram-17z90n-v-ah75a5-2020-chip-core-i5-1065g7-ram-8gb-ssd-512gb-17inch.html,17 inches,Có,4 cell lithium ion (polymer),33.190.000
32GB,Intel Wi-Fi 6 with Gig+ performance (802.11AX) (2x2),Intel Core i9-11900H 2.5GHz up to 4.9GHz 24MB,0,"Ổ cứng SSD, Wi-Fi 6",0,2TB M.2 NVMe PCIe 4.0 SSD (2 slots),v5.2,71.990.000,Tấm nền IPS,NVIDIA GeForce RTX™ 3070 8GB GDDR6 With ROG Boost up to 1390MHz at 80W (100W with Dynamic Boost),Có,Laptop ASUS ROG Zephyrus M16 GU603HR-K8036T,Windows 10 Home SL ,0,"Tần số quét 165Hz, Màn hình chống loá, DCI-P3:100%",Dolby Atmos,0,4,2560 x 1600 pixel (2K),HD 720p ,35.5 x 24.3 x 1.99 ~ 2.23 cm,"DDR4 3200MHz, 1 khe cắm tối đa 48GB",2K (Quad HD),1.9 kg,Không,1x Thunderbolt 4 (supports DisplayPort and Power Delivery) 1 x USB 3.2 gen 2 Type-C (supports DisplayPort and Power Delivery) 1 x USB 3.2 gen 2 Type-A 1 x USB 3.2 gen 1 Type-A 1x HDMI 2.0b 1x RJ45 1x 3.5mm Combo Audio J,0,,https://cellphones.com.vn/laptop-asus-rog-zephyrus-m16-gu603hr-k8036t.html,16 inches,Có,4 Cell 90WHr,68.990.000
8GB,802.11 a / b / g / n / ac,3.0GHz 6-core 8th-generation Intel Core i5 processor,0,Ổ cứng SSD,0,256GB SSD,v4.2,39.990.000,Tấm nền IPS,Radeon Pro 560X with 4GB of GDDR5 memory,Có,Apple imac 21.5 4K 2020 i5 3.0 8GB 256GB Radeon 560X Chính Hãng (MHK33),MacOS,0,Wide color (P3),,0,3,4096 x 2304 pixels (4K Retina),,45.0 x 52.8 x 17.5cm,2666MHz DDR4,Retina,5.48 kg,,"SDXC card slot (UHS-II) jack 3.5mm 4 x USB-A ports 2 x Thunderbolt 3 (USB-C) hỗ trợ: DisplayPort; Thunderbolt (up to 40 Gbps); USB 3.1 Gen 2 (up to 10 Gbps); Thunderbolt 2, HDMI, DVI, and VGA supported using adapters Gigabit Ethernet",0,,https://cellphones.com.vn/imac-21-5-inch-2020-4k-radeon-560x.html,21.5 inches,,,29.000.000
8GB,Wi-Fi 6(802.11ax),"Intel® Core™ i5-1135G7 Processor 2.4 GHz (8M Cache, up to 4.2 GHz, 4 cores)",0,"Ổ cứng SSD, Wi-Fi 6, Bảo mật vân tay",0,512GB M.2 NVMe™ PCIe® 3.0 SSD,v5.0,24.190.000,,Intel Iris Xᵉ Graphics,,Laptop ASUS ExpertBook B5 Flip B5302FEA-LG0557T,Windows 10 Home SL ,0,"Màn hình chống loá, sRGB: 100%, 300nits",,0,0,1920 x 1080 pixels (FullHD),HD 720p ,30.90 x 21.06 x 1.69 cm,"DDR4, không hỗ trợ nâng cấp",Full HD,1.20 kg,Không,1x USB 3.2 Gen 2 Type-A  2x Thunderbolt 4  1x HDMI 2.0b 1x micro HDMI (RJ45 lan)  1x 3.5mm Combo Audio Jack,0,,https://cellphones.com.vn/laptop-asus-expertbook-b5-flip-b5302fea-lg0557t.html,13.3 inches,Có,"66WHrs, 4-cell Li-ion",23.390.000
8GB,Wi-Fi 6(Gig+)(802.11ax),Intel Core i5-1135G7 2.4GHz up to 4.2GHz 8MB,0,"Ổ cứng SSD, Wi-Fi 6, Bảo mật vân tay",0,512GB SSD M.2 PCIE G3X2 (Còn trống 1 khe SSD M.2 PCIE/ SATA3),v5.0,22.990.000,Tấm nền IPS,NVIDIA GeForce MX350 2GB GDDR5 + Intel Iris Xe Graphics,Có,Laptop ASUS S533EQ,Windows 10 Home SL ,0,"Màn hình chống lóa, 300 nits, 6oHz, 100% sRGB",SonicMaster,0,23,1920 x 1080 pixels (FullHD),720p HD,35.98 x 23.38 x 1.61 (cm),"DDR4 3200MHz, không hỗ trợ nâng cấp",Full HD,1.8 kg,Không,1x Thunderbolt™ 4 USB-C® 1x USB 3.2 Gen 1 Type-A 2x USB 2.0 1x HDMI 1x Audio combo jack 1x MicroSD card reader 1x DC-in,0,Vỏ nhựa,https://cellphones.com.vn/laptop-asus-vivobook-s533eq-bn338t.html,15.6 inches,Có,3 Cells,21.990.000
4GB,2 x 2 802.11AC,Intel Core i3-1115G4,0,Ổ cứng SSD,0,"128GB M.2 NVMe SSD, trống 1 khe HDD 2,5 inch ",v5.0,16.990.000,,Intel UHD Graphics,,Laptop Lenovo Ideapad 3,,0,,"2 Loa, Dolby Audio",0,9,1080 x 1920 pixels (FullHD),720P,,"4GB DDR4 (onboard), trống 1 khe, tối đa 12GB",Full HD,"1,84kg",Không,,0,,https://cellphones.com.vn/laptop-lenovo-ideapad-3-81x80055us.html,15.6 inches,,,12.790.000
8GB,Wi-Fi 802.11ac,"Intel Core i5-1135G7 (8MB Cache, 2.4GHz, Turbo Boost 4.2GHz)",0,"Ổ cứng SSD, Bảo mật vân tay",0,512GB SSD (M.2 PCIe NVMe),v5.0,23.990.000,Tấm nền VA,"Intel Iris Xe Graphics, NVIDIA GeForce MX350 2GB GDDR5",Có,Laptop Dell Inspiron 5301 P121G002ASL,Windows 10 Home SL ,0,Màn hình chống loá,"2 x Loa (Âm thanh nổi), 2 x Microphone, High Definition (HD) Audio, Realtek ALC3204",0,4,1920 x 1080 pixels (FullHD),HD 720p ,,"LPDDR4x 4267MHz, không hỗ trợ nâng cấp",Full HD,1.23 kg,Không,"1 x Cổng HDMI 2.0 2 x Cổng USB Type-A 3.2 Gen 1 1 x Cổng USB Type-C 3.2 Gen 2 (DisplayPort, Power Delivery) 1 x Cổng âm thanh 3.5mm (Tai nghe & Microphone) 1 x Cổng microSD (Hỗ trợ SD, SDHX, SDXC) 1 x Cổng nguồn",0,Vỏ nhựa,https://cellphones.com.vn/laptop-dell-inspiron-5301-p121g002asl.html,13.3 inches,Có,3-Cell (40 Wh),23.490.000
